question,source,category,problem_id,correct_answer,incorrect_answer,unique_id
"Using the numbers [86, 28, 37], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,77,75,4332
"Using the numbers [12, 5, 18, 82], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,58,60,4333
"Using the numbers [53, 20, 19, 17], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,37,38,4334
"Using the numbers [12, 84, 98], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,91,92,4335
"Using the numbers [2, 25, 79, 17], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,100,98,4336
"Using the numbers [50, 90, 53, 72], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,36,37,4337
"Using the numbers [57, 91, 15, 9], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,83,82,4338
"Using the numbers [2, 37, 5], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,47,46,4339
"Using the numbers [9, 28, 23], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,45,43,4340
"Using the numbers [54, 14, 3], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,32,30,4341
"Using the numbers [8, 15, 77], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,100,102,4342
"Using the numbers [3, 72, 39], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,59,57,4343
"Using the numbers [99, 79, 42], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,62,60,4344
"Using the numbers [84, 94, 31], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,41,39,4345
"Using the numbers [38, 51, 30], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,43,44,4346
"Using the numbers [41, 98, 43], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,96,98,4347
"Using the numbers [99, 6, 94, 81], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,15,14,4348
"Using the numbers [74, 39, 66, 81], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,71,73,4349
"Using the numbers [78, 5, 97], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,24,25,4350
"Using the numbers [29, 5, 41], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,14,16,4351
"Using the numbers [89, 71, 18], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,36,35,4352
"Using the numbers [58, 37, 35], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,29,28,4353
"Using the numbers [46, 41, 37, 10], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,14,15,4354
"Using the numbers [76, 38, 95], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,57,55,4355
"Using the numbers [53, 66, 55, 12], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,30,32,4356
"Using the numbers [34, 76, 99], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,11,13,4357
"Using the numbers [80, 34, 76, 54], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,24,23,4358
"Using the numbers [98, 58, 47, 33], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,26,25,4359
"Using the numbers [4, 96, 74], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,26,27,4360
"Using the numbers [17, 2, 68, 41], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,35,33,4361
"Using the numbers [1, 38, 21], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,59,61,4362
"Using the numbers [71, 15, 13, 58], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,66,67,4363
"Using the numbers [69, 53, 62], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,60,58,4364
"Using the numbers [88, 66, 20], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,15,14,4365
"Using the numbers [85, 26, 26], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,86,88,4366
"Using the numbers [22, 12, 19], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,29,27,4367
"Using the numbers [23, 2, 69, 24], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,22,21,4368
"Using the numbers [67, 65, 87, 38], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,83,82,4369
"Using the numbers [26, 14, 52], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,16,14,4370
"Using the numbers [95, 34, 17, 84], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,53,52,4371
"Using the numbers [16, 26, 73, 10], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,72,71,4372
"Using the numbers [19, 17, 74, 32], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,78,76,4373
"Using the numbers [79, 79, 81, 71], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,87,89,4374
"Using the numbers [84, 7, 65], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,77,76,4375
"Using the numbers [92, 51, 61, 78], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,58,60,4376
"Using the numbers [79, 98, 54, 22], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,51,49,4377
"Using the numbers [32, 24, 14, 6], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,92,90,4378
"Using the numbers [17, 20, 15, 26], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,32,31,4379
"Using the numbers [65, 62, 96], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,31,29,4380
"Using the numbers [77, 33, 56], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,24,23,4381
"Using the numbers [5, 76, 60, 26], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,94,95,4382
"Using the numbers [17, 84, 19, 22], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,13,12,4383
"Using the numbers [50, 98, 31, 16], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,34,32,4384
"Using the numbers [8, 97, 6], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,99,100,4385
"Using the numbers [68, 25, 94, 88], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,87,88,4386
"Using the numbers [94, 66, 70, 65], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,33,32,4387
"Using the numbers [97, 32, 26], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,39,38,4388
"Using the numbers [44, 21, 47, 27], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,12,14,4389
"Using the numbers [52, 48, 78], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,74,76,4390
"Using the numbers [60, 3, 59, 97], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,72,74,4391
"Using the numbers [22, 86, 52, 61], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,15,13,4392
"Using the numbers [96, 85, 97], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,86,87,4393
"Using the numbers [42, 52, 3], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,66,65,4394
"Using the numbers [53, 50, 13], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,39,37,4395
"Using the numbers [80, 79, 35, 39], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,75,74,4396
"Using the numbers [84, 32, 47], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,69,71,4397
"Using the numbers [8, 13, 64], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,69,71,4398
"Using the numbers [42, 10, 48], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,60,61,4399
"Using the numbers [86, 80, 40], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,84,86,4400
"Using the numbers [80, 89, 58, 83], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,85,83,4401
"Using the numbers [66, 91, 15], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,10,8,4402
"Using the numbers [74, 1, 91, 69], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,52,54,4403
"Using the numbers [80, 25, 56, 26], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,24,25,4404
"Using the numbers [94, 21, 54, 89], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,80,79,4405
"Using the numbers [41, 55, 67, 23], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,58,56,4406
"Using the numbers [85, 15, 54, 24], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,21,19,4407
"Using the numbers [63, 5, 99, 19], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,12,10,4408
"Using the numbers [14, 19, 42], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,47,49,4409
"Using the numbers [47, 46, 24, 1], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,68,66,4410
"Using the numbers [44, 20, 54], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,78,77,4411
"Using the numbers [20, 26, 18, 86], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,69,70,4412
"Using the numbers [73, 23, 3], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,93,95,4413
"Using the numbers [21, 63, 90], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,87,85,4414
"Using the numbers [5, 55, 10, 1], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,28,29,4415
"Using the numbers [12, 52, 94, 63], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,93,95,4416
"Using the numbers [98, 27, 17, 61], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,47,46,4417
"Using the numbers [52, 38, 63], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,49,51,4418
"Using the numbers [39, 95, 12, 37], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,81,82,4419
"Using the numbers [44, 22, 3, 18], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,51,52,4420
"Using the numbers [14, 21, 17], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,56,57,4421
"Using the numbers [23, 15, 26], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,64,65,4422
"Using the numbers [31, 16, 82], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,97,99,4423
"Using the numbers [31, 98, 99], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,31,30,4424
"Using the numbers [24, 90, 86, 27], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,21,19,4425
"Using the numbers [70, 71, 65], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,65,67,4426
"Using the numbers [26, 2, 13, 32], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,71,70,4427
"Using the numbers [91, 16, 80], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,96,97,4428
"Using the numbers [40, 86, 14], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,60,58,4429
"Using the numbers [95, 14, 39, 62], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,20,22,4430
"Using the numbers [77, 1, 12], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,88,86,4431
"Using the numbers [52, 41, 11, 58], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,36,37,4432
"Using the numbers [4, 9, 2], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,10,9,4433
"Using the numbers [64, 56, 17, 5], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,10,9,4434
"Using the numbers [23, 97, 88, 30], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,92,91,4435
"Using the numbers [6, 27, 36], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,15,13,4436
"Using the numbers [78, 2, 69, 51], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,98,99,4437
"Using the numbers [94, 96, 88, 6], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,76,77,4438
"Using the numbers [28, 88, 30, 56], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,44,46,4439
"Using the numbers [2, 91, 32, 34], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,55,53,4440
"Using the numbers [54, 67, 3], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,16,14,4441
"Using the numbers [48, 40, 7, 84], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,63,65,4442
"Using the numbers [29, 12, 4, 83], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,70,72,4443
"Using the numbers [24, 21, 2, 67], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,40,42,4444
"Using the numbers [14, 83, 49], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,48,50,4445
"Using the numbers [1, 13, 17], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,31,30,4446
"Using the numbers [33, 51, 1], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,18,17,4447
"Using the numbers [50, 96, 78, 73], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,39,38,4448
"Using the numbers [57, 33, 32], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,58,57,4449
"Using the numbers [6, 36, 90, 81], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,78,76,4450
"Using the numbers [36, 66, 20], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,10,8,4451
"Using the numbers [9, 38, 34], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,13,12,4452
"Using the numbers [64, 31, 43], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,52,53,4453
"Using the numbers [28, 35, 81, 33], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,41,42,4454
"Using the numbers [35, 30, 89], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,94,96,4455
"Using the numbers [61, 67, 59, 69], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,57,58,4456
"Using the numbers [60, 4, 84, 72], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,76,75,4457
"Using the numbers [84, 89, 95], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,100,99,4458
"Using the numbers [57, 4, 33], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,75,77,4459
"Using the numbers [64, 99, 84], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,49,50,4460
"Using the numbers [59, 98, 52], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,91,93,4461
"Using the numbers [95, 45, 10], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,60,61,4462
"Using the numbers [10, 67, 67], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,10,9,4463
"Using the numbers [98, 6, 82], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,30,28,4464
"Using the numbers [62, 48, 45], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,59,60,4465
"Using the numbers [35, 76, 42], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,69,67,4466
"Using the numbers [3, 86, 17, 47], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,50,52,4467
"Using the numbers [72, 36, 7, 18], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,67,69,4468
"Using the numbers [34, 44, 60], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,50,51,4469
"Using the numbers [78, 44, 79, 2], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,42,41,4470
"Using the numbers [14, 84, 34, 57], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,75,76,4471
"Using the numbers [60, 69, 80, 6], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,51,53,4472
"Using the numbers [34, 20, 79, 9], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,100,99,4473
"Using the numbers [59, 70, 28], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,17,19,4474
"Using the numbers [96, 12, 59], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,67,69,4475
"Using the numbers [60, 2, 65, 64], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,71,72,4476
"Using the numbers [29, 11, 74], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,34,32,4477
"Using the numbers [60, 21, 5, 68], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,65,67,4478
"Using the numbers [61, 54, 82], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,33,35,4479
"Using the numbers [98, 94, 2, 69], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,36,38,4480
"Using the numbers [78, 13, 2, 12], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,58,56,4481
"Using the numbers [68, 3, 46, 65], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,37,38,4482
"Using the numbers [81, 9, 81], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,18,20,4483
"Using the numbers [24, 76, 2], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,98,96,4484
"Using the numbers [24, 98, 19], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,93,91,4485
"Using the numbers [83, 78, 24], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,19,21,4486
"Using the numbers [65, 36, 9], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,61,62,4487
"Using the numbers [87, 64, 77], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,100,99,4488
"Using the numbers [93, 16, 27], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,50,49,4489
"Using the numbers [31, 97, 15, 19], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,83,84,4490
"Using the numbers [56, 7, 9, 56], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,55,53,4491
"Using the numbers [54, 99, 43], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,88,90,4492
"Using the numbers [79, 21, 7], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,65,66,4493
"Using the numbers [1, 62, 23], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,38,39,4494
"Using the numbers [23, 6, 59, 10], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,86,87,4495
"Using the numbers [81, 8, 82, 7], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,48,50,4496
"Using the numbers [55, 7, 26, 13], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,47,45,4497
"Using the numbers [7, 43, 19], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,17,16,4498
"Using the numbers [99, 87, 70, 19], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,97,99,4499
"Using the numbers [20, 93, 85], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,12,14,4500
"Using the numbers [90, 22, 26], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,86,85,4501
"Using the numbers [71, 81, 91], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,81,82,4502
"Using the numbers [2, 11, 63, 16], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,84,83,4503
"Using the numbers [92, 33, 66], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,46,44,4504
"Using the numbers [61, 73, 46, 12], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,98,100,4505
"Using the numbers [36, 64, 94, 37], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,85,86,4506
"Using the numbers [27, 38, 4], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,44,45,4507
"Using the numbers [87, 43, 58, 68], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,74,76,4508
"Using the numbers [53, 2, 84, 71], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,44,45,4509
"Using the numbers [6, 57, 36, 33], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,55,57,4510
"Using the numbers [82, 29, 1], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,54,56,4511
"Using the numbers [8, 80, 20], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,10,11,4512
"Using the numbers [97, 55, 82, 29], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,95,94,4513
"Using the numbers [63, 36, 88], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,61,63,4514
"Using the numbers [43, 81, 31, 58], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,11,9,4515
"Using the numbers [65, 2, 42, 38], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,50,51,4516
"Using the numbers [10, 13, 29, 99], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,93,91,4517
"Using the numbers [9, 69, 74], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,45,44,4518
"Using the numbers [47, 98, 12], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,63,65,4519
"Using the numbers [10, 15, 40, 83], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,98,100,4520
"Using the numbers [8, 36, 88, 63], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,61,60,4521
